cycle,target_ph,is_test,steps,mean_abs_error,rmse,max_abs_error,mean_error,tail_mae,tail_mean_error,tail_std_error,early_mean_error,mid_mean_error,final_error,drift_tail_minus_early,tail_ratio_action_std,tail_sum_action_std,tail_mean_sigma,tail_train_updates,mean_reward
315,5.273989677429199,False,200,0.04008381564262785,0.0455614937828183,0.1545076439381043,0.039812256440349664,0.04121397567635108,0.04121397567635108,0.02202009101093332,0.03391698142731272,0.035371485223960136,0.074753504217929,0.0072969942490383605,0.028680930226068633,0.014898791314198712,0.01,50,-0.04198889091383532
316,5.091001510620117,False,200,0.03225608517802824,0.03666453683020181,0.133367219210295,0.025065086107195204,0.04289953118776027,0.04289953118776027,0.012835681302646302,0.0009185306814022656,0.027608114729694835,0.0401652199506692,0.041981000506358,0.014373456834124367,0.011529352394582908,0.01,50,-0.03345115969317899
317,5.176492691040039,False,200,0.028253790446073408,0.03345540533673776,0.075515497386684,0.01753394280895821,0.02866474098074553,0.016228257324993535,0.028970190936599884,0.023749895807822937,0.012015450393038765,-0.0416489156803887,-0.007521638482829402,0.04030268876551673,0.01396700569427779,0.01,50,-0.02841252650272646
318,4.383886337280273,False,200,0.020170305466450555,0.026421182166868163,0.0795747866326941,0.009062379651038554,0.03194166871912833,0.029992479182889477,0.024634459801072293,0.0010031245206828295,-0.008467539225700912,-0.0003112016681665,0.028989354662206646,0.02482833249704098,0.009358017093887647,0.01,50,-0.01886533595027375
319,5.658231258392334,False,200,0.04317815047688339,0.04467295332165314,0.0892781531742539,-0.04317815047688339,0.041328496546552046,-0.041328496546552046,0.008842237198159552,-0.04694189243878122,-0.04168159403410595,-0.0468045862510342,0.005613395892229173,0.004451552101446651,0.014308935429989466,0.01,50,-0.04573640818126954
320,4.772989749908447,False,200,0.03498052678890502,0.0400138831870349,0.0938770531597121,0.03135385190275754,0.05352223888150347,0.05352223888150347,0.011566316440187586,0.02644951270627203,0.025770717365228575,0.0420518545346091,0.02707272617523144,0.01324663017167224,0.014257205005927767,0.01,50,-0.03584230905962469
321,5.2354936599731445,False,200,0.02164917785850395,0.02515779803896168,0.0618468429136198,0.020356215067001155,0.02062104556993527,0.020597041664032072,0.009846821281132465,0.013363967790918358,0.027630903574432195,0.0261685057771288,0.007233073873113715,0.012502338691714404,0.012488483888141774,0.01,50,-0.02118580182673697
322,4.483653545379639,False,200,0.017901415090045513,0.024116030641338205,0.1750604087069547,0.0023877930218641286,0.019080964597951805,-0.006555762745260647,0.021149696255256253,-0.0031677588700162605,-0.004809786850341604,0.0122662645011466,-0.0033880038752443866,0.020572278206789918,0.015083212797945398,0.01,50,-0.016844873559274488
323,5.002169609069824,False,200,0.05865561804120735,0.060039707891553815,0.0983450409641006,0.05865561804120735,0.05790079580437832,0.05790079580437832,0.008763041334737941,0.04900965660629944,0.06782894807142742,0.0675234644926536,0.008891139198078879,0.010602915036503516,0.01069123492267423,0.01,50,-0.06298427663310453
324,4.827625751495361,False,200,0.027574433751619085,0.0313560057029771,0.1140522018421439,0.02306264875505036,0.02983373975357731,0.02983373975357731,0.011569661896542049,0.02579546832318009,0.007164034860948831,0.0083530090302179,0.004038271430397221,0.014301426333688425,0.0130002378751394,0.01,50,-0.02841447889190517
325,5.113893508911133,False,200,0.04334822859389867,0.04818495441680606,0.0921713249387981,0.04210420505898537,0.025588955360028316,0.02232125563282172,0.022933971549738905,0.03946150047421048,0.05626295117600635,0.0523777898359067,-0.01714024484138876,0.038624231539303354,0.013822922322613517,0.01,50,-0.04586281437194855
326,4.446512222290039,False,200,0.012486792205848345,0.02025780303389343,0.1925546849006494,0.001971946528844557,0.008330766534404056,-0.003801267791359192,0.010847802943726318,0.013243647289940319,-0.007312126833149262,-0.0075271163901451,-0.01704491508129951,0.010891146633212313,0.012598658067204744,0.01,50,-0.009356797677117886
327,4.19073486328125,False,200,0.028088772024135237,0.03450527380511662,0.0871868784428882,-0.021668948248418963,0.022021781632125145,-0.010402782176114688,0.025210437618437366,-0.02528064084908186,-0.028837177064372742,0.0105045523525779,0.014877858672967172,0.02576305026286632,0.012889085034629846,0.01,50,-0.02823913634874871
328,4.16663122177124,False,200,0.026410005400868304,0.033755143878112785,0.1223001343986016,-0.016366635224685396,0.025229688493422234,-0.01593780745102309,0.024529427173998947,-0.01963506900714996,-0.022114549419082107,-0.0060026435956119,0.0036972615561268705,0.01810723421587283,0.011068057246452998,0.01,50,-0.026571270428205035
329,4.777319431304932,False,200,0.022579105064749756,0.0277592519530078,0.0998758479208623,0.01851362975087584,0.030686870670034002,0.030550821084932678,0.014263646554124328,0.024065024708156635,0.016101231016762335,0.0124770759155499,0.006485796376776043,0.01765979875838235,0.012554991233709066,0.01,50,-0.022010330288335787
330,4.277384281158447,False,200,0.021615308236021032,0.028242572521081602,0.1716231237021874,-0.015666345359997627,0.017273151622979176,-0.011965106239407459,0.018042739407673616,-0.01513226238366675,-0.018810946283757315,0.0140294860391403,0.003167156144259291,0.02025748137197949,0.017323472052876834,0.01,50,-0.02090406155835529
331,5.25576639175415,False,200,0.038610029122378785,0.043893138115859674,0.0869149319254747,0.03342092350401377,0.02326480771051195,0.0064004646119429276,0.028213572339143716,0.038964944970707446,0.045307886863339204,-0.0302422738272492,-0.03256448035876452,0.01357650088295511,0.02439995674216325,0.01,50,-0.04061323563842373
332,4.978885173797607,False,200,0.04225588962448889,0.045446219700204384,0.1398621969708244,0.04222394779916128,0.043089159579657074,0.043089159579657074,0.008577330834350335,0.055780221458057416,0.03332057017665922,0.0375476414524724,-0.012691061878400342,0.01932632037786704,0.011680911716944554,0.01,50,-0.044664322412821686
333,3.942967176437378,False,200,0.06873648067348696,0.0902819337681972,0.2022197888345358,0.06505246705831831,0.01578023498225947,0.012458996669037386,0.014724716972863284,0.13700589456889445,0.060882864992763415,0.042987677484938,-0.12454689789985707,0.01692130363013276,0.014549004095905524,0.01,50,-0.07697291961612722
334,5.374057769775391,False,200,0.04908056145070525,0.07540484951233076,0.2257671158215046,-0.03517630532938023,0.010771106397713002,-7.325775596567205e-05,0.01365591711353396,-0.09814006729790836,-0.014366207658027298,-0.0196974910057381,0.09806680954194269,0.0061683198934908996,0.013996610668694029,0.01,50,-0.05573735999805841
335,5.662659168243408,False,200,0.057166516916740094,0.0632375360096187,0.134313270953637,-0.056869388444749626,0.050376596797536484,-0.04950229982456149,0.045107702189601924,-0.055805202083163204,-0.054681127641175484,-0.1066214283809756,0.0063029022586017155,0.007214970679515756,0.07970508368199332,0.01,50,-0.061974100201173436
336,4.272717475891113,False,200,0.014931797419647124,0.0196654009629167,0.0952119594987372,0.006456536567206855,0.008834007340509924,-0.00012089077229387614,0.01125236890315932,0.004143099694903717,0.014614766983564297,0.0015817857469011,-0.004263990467197593,0.011656120752860835,0.011051395367486729,0.01,50,-0.013120256460830669
337,4.681308746337891,False,200,0.018289421492863042,0.022811956188574324,0.0568534483076668,0.01171270295040487,0.0182094786668749,0.006760372144724157,0.021347772129901264,0.004986021360849513,0.02769726316663903,0.0551338883891734,0.001774350783874644,0.02399596388395664,0.020281254543311138,0.01,50,-0.016996317791274848
338,3.93855881690979,False,200,0.02612524151983245,0.03358104478992492,0.1176732946933052,-0.006240492959473851,0.040140168654253156,0.0026659412308023918,0.04770737630133785,-0.004848599498339921,-0.014911430081481264,-0.0220016224430663,0.007514540729142313,0.04915466253877264,0.019313996695886033,0.01,50,-0.025882675735123328
339,3.795188188552856,False,200,0.04859303281513541,0.0661832863307225,0.1855068946690519,0.04688718533541227,0.02123917500864362,0.018152991697262595,0.024888114823760948,0.08639328665730084,0.02619373486286509,0.0256113260226675,-0.06824029496003825,0.011106227554741563,0.01793144905792012,0.01,50,-0.05180057660219079
340,4.051496505737305,False,200,0.019584699281696823,0.02528316605685476,0.0733167308057582,-0.0006339215108058566,0.019722582450648358,-0.0006570372989730142,0.02501304868191786,-0.01221996694386419,0.018368321100432395,0.0007398943475109,0.011562929644891176,0.021958335215222263,0.014664488971280153,0.01,50,-0.018141284761748793
341,4.870909214019775,False,200,0.030335370831620457,0.032958453798120915,0.099223836130398,0.029541574530720018,0.01724366665830794,0.014068481454706178,0.013972456402669241,0.026154969643993234,0.036914676766850174,-0.0156048237876076,-0.012086488189287056,0.020458273095888265,0.02149314403609623,0.01,50,-0.031584011428197674
342,4.002420425415039,False,200,0.01289686895518045,0.01891102775689219,0.1253234608257711,0.002666441171769538,0.010130496185872077,0.0013364021822017747,0.013375748585801803,0.0032517159649760106,0.000707097149988836,-0.0145052817558477,-0.001915313782774236,0.012565531784951648,0.00999848769284279,0.01,50,-0.00974847289388163
343,4.992133140563965,False,200,0.026944051562083845,0.02974544117698185,0.0806172467403145,0.026846260567167865,0.0260980904724865,0.0260980904724865,0.009248707454675686,0.02054488721348676,0.022575009101721576,0.0349012973949847,0.005553203258999738,0.013729170690726574,0.012407005747317698,0.01,50,-0.028264535346888817
344,4.042686939239502,False,200,0.015010064656064182,0.01914660922262919,0.0785360195070015,0.0026734911040793715,0.01365160773927948,-0.007131126615977133,0.01505308677963818,7.038121570162951e-06,0.011297159506856749,0.0220860556145758,-0.007138164737547296,0.014920330319076552,0.00834759819480653,0.01,50,-0.012629656906826818
345,4.639067649841309,False,200,0.02454632820912044,0.03354934738822668,0.0913547173338455,-0.012237106701610663,0.010027864950529885,-0.003440816165392146,0.011569790745752305,-0.007317678887738904,-0.021706893687541532,-0.002972817467433,0.0038768627223467584,0.013034633007418125,0.011818482092297715,0.01,50,-0.023955626020115535
346,4.919586181640625,False,200,0.03141275567233151,0.035729278753785045,0.0683941668396137,0.02642494125975141,0.03570454074254765,0.0346975902212091,0.020627467875563812,0.04695373768837045,0.024946121988525173,0.0392652081629032,-0.012256147467161353,0.03370314638898731,0.014169409263268559,0.01,50,-0.03257661087173155
347,4.52815580368042,False,200,0.020620828731456594,0.025872254845683573,0.0720968006587607,-0.018974114541978993,0.03544170212290038,-0.03481326082011522,0.01950900537617045,-0.013547569614286444,-0.015369673529123454,-0.0244927814442545,-0.021265691205828774,0.020885178526132895,0.01148710729368173,0.01,50,-0.019503971100884067
348,4.691469192504883,False,200,0.02438823687531131,0.030350020994581277,0.0765751927550288,-0.010887994857580574,0.020932301049344456,-0.0033181919434853136,0.02549534831911966,-0.007982133711027238,-0.03725148137392367,0.0010394763666186,0.004663941767541924,0.02871498362139611,0.02478056490020228,0.01,50,-0.023992208040081363
349,5.499728679656982,False,200,0.044536031621438446,0.05351343488328502,0.1454286099332158,-0.043149285157184344,0.060650821298288964,-0.0600807192183723,0.04337825584749725,-0.03607195148454879,-0.04297911628269849,-0.0517644681649791,-0.02400876773382351,0.008324654108458986,0.05002098707404281,0.01,50,-0.048377329889273436
350,4.85750150680542,False,200,0.028256320673987673,0.03596060750627177,0.0921847121792298,-0.012278490521824432,0.0159712679345838,-0.009938320856624825,0.01602855687982989,-0.002097628717799307,-0.006534593369906416,-0.0204990099275415,-0.007840692138825519,0.021605669525627893,0.020931511675533823,0.01,50,-0.028400759826875396
351,3.935388565063477,False,200,0.032354910015063985,0.04163174056707922,0.1282025306846885,-0.015493620973344627,0.026937934817219907,6.740733197285575e-05,0.033596188264200695,-0.017332667467117813,-0.02154500729903525,-0.0359408856425442,0.01740007479909067,0.01812969370427165,0.01283456831953429,0.01,50,-0.03306576875475128
352,4.755321979522705,False,200,0.01631514446491277,0.021077623904156906,0.0897580666275814,0.010469879220118607,0.020371138321976002,0.02015897147896758,0.012983572971687209,0.015433544405546888,-0.0009335513348700883,0.002536123503761,0.0047254270734206905,0.01667703095493813,0.017880410021425073,0.01,50,-0.014680940401387264
353,3.9614450931549072,False,200,0.031641146449719236,0.04087197177646061,0.1226920048671189,-0.004744446566166901,0.02372333118404426,-0.006827699135472434,0.03161304728185707,0.0076070538569047805,-0.015898467265750026,0.0069202065139819,-0.014434752992377214,0.04106195975120809,0.018157874695225323,0.01,50,-0.03246812384857105
354,3.9895176887512207,False,200,0.02137632665818401,0.029398979030460723,0.1290203760774453,0.005479050100367484,0.024351237977972274,0.007869030002121455,0.028716812495825327,0.015024919185292534,-0.0032074741500202797,0.0308776269706783,-0.007155889183171079,0.021886067190802567,0.012725467020116484,0.01,50,-0.020081229107766788
355,4.063380241394043,False,200,0.022598010127571164,0.029336306765465867,0.1038325886228519,-0.0022559873203716243,0.025875390192570992,0.000960117482236987,0.034205668698210845,-0.00318853718246777,-0.0014878811148706494,0.0090294767356837,0.004148654664704757,0.0585049085619084,0.023113368865104882,0.01,50,-0.021698991717023053
356,4.650294780731201,False,200,0.019561117689873574,0.02453944271387395,0.1225373266826359,-0.00033405167845042104,0.015784661584986245,-0.004508159926205672,0.01879336941424226,0.014847004257858476,-0.007975965843870877,-0.0010034726960741,-0.019355164184064147,0.02086228284443135,0.016609462099499744,0.01,50,-0.01859049533725983
357,5.209131717681885,False,200,0.018058355582463423,0.022179403063355148,0.0957068263720106,0.012067550723227826,0.014906773055930711,0.008158667182936195,0.015619232115143203,0.02906859895827259,0.011189903650677095,0.0126367892484395,-0.020909931775336395,0.021232309660972656,0.017716574979141423,0.01,50,-0.01714260000186973
358,4.955108642578125,False,200,0.02180729800796463,0.02574778810208657,0.0784466924496838,0.007850370391595092,0.017913381759908434,0.0017651058366036562,0.02030206281883743,0.025771586550088713,-0.013549029577555447,-8.569234936128822e-05,-0.024006480713485056,0.03760870849183169,0.02358097772998105,0.01,50,-0.02103189986769346
359,5.465874671936035,False,200,0.017074992517408984,0.02379302491950694,0.1821481451808164,-0.012874557812918005,0.018266117583452257,-0.016589100613912822,0.014452925038124911,-0.005327916826040385,-0.011738603632123857,-0.0069085858332167,-0.011261183787872438,0.012601726896745264,0.01764431127594664,0.01,50,-0.01505328313632928
360,5.490251064300537,False,200,0.02202920580172891,0.027069834119088833,0.0672286519531573,-0.017323807804583514,0.022775545017129143,-0.019731326072244103,0.02228464274753324,-0.018794368400520595,-0.02230111698447314,-0.0391389877248169,-0.0009369576717235088,0.009863689722270474,0.028817221274400402,0.01,50,-0.02109210116199578
361,4.216020584106445,False,200,0.01289668442815568,0.015947337164408066,0.0479872390979529,0.0015174197630785458,0.015678519326591304,0.0074087656026712466,0.017926094395412,0.001672424224819402,0.0020808320963035423,-0.0181538139228223,0.005736341377851844,0.01871549799668897,0.011090938863043973,0.01,50,-0.010878731493791299
362,5.422768592834473,False,200,0.023517067319685597,0.030010399658463388,0.1789264055629633,-0.020058910455732756,0.02616445412141277,-0.024848513991108052,0.0160857069533512,-0.01779725303646871,-0.02475279120840999,-0.0173710727312084,-0.0070512609546393434,0.0224442414196376,0.03633494195294199,0.01,50,-0.023931871820800536
363,4.706603050231934,False,200,0.019882216175070883,0.02555558417226227,0.0670447419171083,-0.0005701486601223126,0.02329623894099946,0.020380822612526002,0.021083858306435485,-0.003964851229062909,-0.021846609786622312,0.0246294361810441,0.02434567384158891,0.024791201968419746,0.015396183493964844,0.01,50,-0.017855028854090134
364,4.319586277008057,False,200,0.018728588307632566,0.02334832766200544,0.0629792921743064,0.013519064910185126,0.019360692306883615,0.014541509851802312,0.017593640340041593,0.012654643132640357,0.01936944362683036,-0.0057580996260435,0.0018868667191619549,0.017732146424896147,0.012967639587666061,0.01,50,-0.016704325386990893
