_id,utc_time,episode_number,step_number,target_ph,observation.utc_time,observation.biosmb-sensors.P_1,observation.biosmb-sensors.P_2,observation.biosmb-sensors.P_3,observation.biosmb-sensors.P_4,observation.biosmb-sensors.P_5,observation.biosmb-sensors.P_6,observation.biosmb-sensors.P_7,observation.biosmb-sensors.PH_1,observation.biosmb-sensors.PH_2,observation.biosmb-sensors.COND_1,observation.biosmb-sensors.COND_2,observation.biosmb-sensors.COND_3,observation.biosmb-sensors.COND_4,observation.biosmb-sensors.UV_1A,observation.biosmb-sensors.UV_1B,observation.biosmb-sensors.UV_1C,observation.biosmb-sensors.UV_2A,observation.biosmb-sensors.UV_2B,observation.biosmb-sensors.UV_2C,observation.biosmb-sensors.UV_3A,observation.biosmb-sensors.UV_3B,observation.biosmb-sensors.UV_3C,observation.biosmb-sensors.UV_4A,observation.biosmb-sensors.UV_4B,observation.biosmb-sensors.UV_4C,observation.biosmb-flows[0],observation.biosmb-flows[1],observation.biosmb-flows[2],observation.biosmb-flows[3],observation.biosmb-flows[4],observation.biosmb-flows[5],observation.biosmb-flows[6],observation.mfcs-mass.acid-mass-grams,observation.mfcs-mass.sodium-mass-grams,observation.mfcs-mass.water-mass-grams
6a03ac38540d88a0e889f3fc,2026-05-12T22:37:30.413Z,5,3,4.6,2026-05-12T22:37:30.413Z,-0.086366177,-0.080222607,0.1135568618774414,-0.034525871,0.000841618,0.16327810287475586,0.078272343,4.193695068359375,4.602155685424805,0.23560813069343567,-0.111430109,2.0367355346679688,2.720339775085449,0,0,0,0,0,0,0,0.11251582950353622,0.046425398,0,0,0,4.173156261444092,5.681988716125488,7.495442867279053,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03acc6540d88a0e889f475,2026-05-12T22:39:52.392Z,5,4,4.6,2026-05-12T22:39:52.392Z,-0.087221384,-0.080222607,0.11441707611083984,-0.034525871,0.000841618,0.16327810287475586,0.079114079,4.0099945068359375,4.6038103103637695,0.23571553826332092,-0.111166656,2.0368762016296387,2.7204630374908447,0,0,0,0,0,0,0,0.16671785712242126,0.02570118,0,0,0,7.801742076873779,7.459996700286865,3.510404348373413,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03ad54540d88a0e889f4ee,2026-05-12T22:42:14.076Z,5,5,4.6,2026-05-12T22:42:14.076Z,-0.086366177,-0.080222607,0.1135568618774414,-0.033662796,0.000841618,0.16411972045898438,0.079114079,4.2039031982421875,4.596641540527344,0.23560692369937897,-0.111631155,2.037240505218506,2.720963478088379,0,0,0,0,0,0,0,0.051644422113895416,0.003919054,0,0,0,6.238706588745117,4.696681022644043,5.638033390045166,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03ade2540d88a0e889f567,2026-05-12T22:44:36.576Z,5,6,4.6,2026-05-12T22:44:36.576Z,-0.085511208,-0.080222607,0.1135568618774414,-0.034525871,0.000841618,0.16327810287475586,0.078272343,4.071228027,4.6038103103637695,0.23567569255828857,-0.111624181,2.0375308990478516,2.7212672233581543,0,0,0,0,0,0,0.021139329,0.033046007,0.039189066737890244,0,0,0,1.3071341514587402,3.0424060821533203,1.2309598922729492,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03ae71540d88a0e889f5e0,2026-05-12T22:46:58.299Z,5,7,4.6,2026-05-12T22:46:58.299Z,-0.086366177,-0.080222607,0.1135568618774414,-0.035388947,0.000420809,0.16327810287475586,0.077851534,4.101837158203125,4.596090316772461,0.23559801280498505,-0.111492574,2.037881374359131,2.7215170860290527,0,0,0,0,0,0,0.066449083,0.23795001208782196,0.081792712,0,0,0,4.200015068054199,7.532260417938232,5.874582290649414,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03af00540d88a0e889f659,2026-05-12T22:49:21.053Z,5,8,4.6,2026-05-12T22:49:21.053Z,-0.088931561,-0.081085205,0.1135568618774414,-0.035388947,0.000841618,0.16327810287475586,0.078272343,4.020202637,4.6027069091796875,0.23568987846374512,-0.111443698,2.0380921363830566,2.721628427505493,0,0,0,0,0,0,0,0.06350974,0.040309075,0,0,0,7.410916328430176,2.7594308853149414,3.1268696784973145,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03af8e540d88a0e889f6d2,2026-05-12T22:51:44.195Z,5,9,4.6,2026-05-12T22:51:44.195Z,-0.085511208,-0.080222607,0.1135568618774414,-0.035388947,0.000841618,0.16411972045898438,0.079114079,3.969177246,4.600502014160156,0.23567497730255127,-0.111869156,2.038400650024414,2.7222342491149902,0,0,0,0,0,0,0,0.080734871,0.11066626757383347,0,0,0,1.2029705047607422,5.575952529907227,6.519660949707031,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03b01b540d88a0e889f74b,2026-05-12T22:54:06.071Z,5,10,4.6,2026-05-12T22:54:06.071Z,-0.087221384,-0.080222607,0.1135568618774414,-0.033662796,0.000420809,0.16411972045898438,0.077851534,4.071228027,4.601604461669922,0.2356194406747818,-0.111805022,2.0387439727783203,2.722567319869995,0,0,0,0,0,0,0,0.028206449,0.000614099,0,0,0,5.820002555847168,7.052996635437012,8.386407852172852,0,0,0,0,2019.2199999999998,2255.1200000000003,1991.99
6a03b0a9540d88a0e889f7c4,2026-05-12T22:56:27.623Z,5,11,4.6,2026-05-12T22:56:27.623Z,-0.086366177,-0.080222607,0.1135568618774414,-0.034525871,0.000420809,0.16327810287475586,0.077430725,3.938568115234375,4.607668876647949,0.23566673696041107,-0.111890495,2.0389795303344727,2.722773551940918,0,0,0,0,0,0,0,0.12554804980754852,0.066818155,0,0,0,9.726446151733398,1.8947441577911377,3.8994126319885254,0,0,0,0,2019.2199999999998,2255.1200000000003,1992.1299999999999
6a03b137540d88a0e889f83d,2026-05-12T22:58:49.659Z,5,12,4.6,2026-05-12T22:58:49.659Z,-0.086366177,-0.079360008,0.1135568618774414,-0.034525871,0.000841618,0.16327810287475586,0.078272343,4.0099945068359375,4.602155685424805,0.2356114536523819,-0.11182338,2.039257049560547,2.722837209701538,0,0,0,0,0,0,0.000789839,0.022646848112344742,0.070513844,0,0,0,3.651416778564453,4.073415756225586,7.582317352294922,0,0,0,0,2019.2199999999998,2255.1200000000003,1992.1299999999999
6a03b1c5540d88a0e889f8b6,2026-05-12T23:01:11.492Z,5,13,4.6,2026-05-12T23:01:11.492Z,-0.088931561,-0.080222607,0.1135568618774414,-0.033662796,0.000841618,0.1628572940826416,0.077851534,3.999786376953125,4.6038103103637695,0.23564083874225616,-0.112128496,2.039539098739624,2.7232072353363037,0,0,0,0,0,0,0,0.13668213784694672,0.014581886120140553,0,0,0,5.594438552856445,7.493293285369873,5.222875118255615,0,0,0,0,2019.2199999999998,2255.19,1991.99
6a03b254540d88a0e889f92f,2026-05-12T23:03:33.612Z,5,14,4.6,2026-05-12T23:03:33.612Z,-0.087221384,-0.080222607,0.1135568618774414,-0.035388947,0.000420809,0.16327810287475586,0.079114079,3.989593505859375,4.606015205383301,0.23566637933254242,-0.112220645,2.039884090423584,2.723572254180908,0,0,0,0,0,0,0.015608254820108414,0.076323994,0.023415574803948402,0,0,0,6.841993808746338,8.264070510864258,2.219604969024658,0,0,0,0,2019.2199999999998,2255.19,1992.1299999999999
