sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,water_fraction,valid_for_model,valid_for_model_before_flat_trial_filter,uninformative_flat_ph_trial,trial_ph_range,trial_log10_flow_ratio_range,trial_total_flow_range,flow_ratio_acetate_acid,log10_molar_base_acid_ratio,total_buffer_mol_l,ph_henderson_hasselbalch,ph_equilibrium_charge_balance,prediction_hh_raw,residual_hh_raw,prediction_equilibrium_raw,residual_equilibrium_raw,prediction_equilibrium_bias,residual_equilibrium_bias,prediction_hh_effective_pka,residual_hh_effective_pka,prediction_hh_affine,residual_hh_affine,prediction_equilibrium_affine,residual_equilibrium_affine
821,2026-05-15T02:49:35.624Z,2026-05-15 02:49:35.624000+00:00,4743.463616666666,79.05772694444444,69.257,5,58,train,24,2,4.208487510681152,5.642521858215332,3.903379201889038,3.199735164642334,12.745636224746704,0.25104554282114094,True,True,False,1.0095310211181636,1.1890275172299856,15.76462697982788,0.6917791902225141,-0.16003250636829278,0.07489544571788591,4.599967493631707,4.600569246071581,4.599967493631707,-0.3914799829505551,4.600569246071581,-0.3920817353904287,4.257526989182197,-0.04903947850104462,4.257756958697273,-0.049269448016120876,4.295873005560624,-0.08738549487947189,4.295365059572627,-0.08687754889147481
822,2026-05-15T02:50:44.822Z,2026-05-15 02:50:44.822000+00:00,4744.616916666667,79.07694861111112,69.198,5,58,train,24,3,3.5716724395751958,8.242074012756348,1.0579453706741333,3.234221935272217,12.534241318702698,0.25803092927900967,True,True,False,1.0095310211181636,1.1890275172299856,15.76462697982788,0.12835912041516975,-0.8915732675826646,0.07419690707209903,3.868426732417335,3.876096954049553,3.868426732417335,-0.2967542928421394,3.876096954049553,-0.30442451447435737,3.5330546971601686,0.038617742415027134,3.526216197482901,0.04545624209229482,3.718607600745187,-0.14693516116999117,3.722370465466761,-0.1506980258915651
823,2026-05-15T02:51:53.934Z,2026-05-15 02:51:53.934000+00:00,4745.768783333333,79.09614638888888,69.112,5,58,train,24,4,4.547571182250977,5.934800624847412,9.499221801757812,2.5443897247314453,17.97841215133667,0.141524718830204,True,True,False,1.0095310211181636,1.1890275172299856,15.76462697982788,1.600596616841201,0.20428189459670593,0.08584752811697961,4.964281894596706,4.964513845762582,4.964281894596706,-0.4167107123457292,4.964513845762582,-0.41694266351160536,4.621471588873198,-0.0739004066222213,4.622071359662272,-0.074500177411295,4.583356781316388,-0.03578559906541123,4.583213594945774,-0.03564241269479762
824,2026-05-15T02:53:03.178Z,2026-05-15 02:53:03.178000+00:00,4746.92285,79.11538083333333,69.244,5,58,train,24,5,4.15831470489502,9.270822525024414,5.100248814,2.6723670959472656,17.04343843497168,0.15679741538912692,True,True,False,1.0095310211181636,1.1890275172299856,15.76462697982788,0.5501398392896718,-0.2595269037556034,0.08432025846108732,4.500473096244397,4.501182398608413,4.500473096244397,-0.3421583913493764,4.501182398608413,-0.34286769371339254,4.158140141719029,0.0001745631759915156,4.158262561309963,5.214358505778449e-05,4.217361080279371,-0.05904637538435065,4.216758704369345,-0.058443999474324215
825,2026-05-15T02:54:12.516Z,2026-05-15 02:54:12.516000+00:00,4748.078483333333,79.13464138888888,69.338,5,58,train,24,6,4.581203460693359,5.1094489097595215,9.533855438232422,8.330850601196289,22.974154949188232,0.362618369190143,True,True,False,1.0095310211181636,1.1890275172299856,15.76462697982788,1.8659263663488,0.2708945015115713,0.0637381630809857,5.030894501511571,5.03117365221329,5.030894501511571,-0.44969104081821154,5.03117365221329,-0.449970191519931,4.688131395323906,-0.10692793463054695,4.688683966577137,-0.10748050588377733,4.635921389517697,-0.05471792882433757,4.635935706144525,-0.05473224545116562
826,2026-05-15T02:55:21.801Z,2026-05-15 02:55:21.801000+00:00,4749.233233333333,79.15388722222222,69.285,5,58,train,24,7,4.566317558288574,5.938283920288086,9.36891746520996,4.036321163,19.343522548498044,0.2086652600569593,True,True,False,1.0095310211181636,1.1890275172299856,15.76462697982788,1.5777146379278277,0.19802845490612564,0.0791334739943041,4.958028454906126,4.958282888759636,4.958028454906126,-0.39171089661755154,4.958282888759636,-0.39196533047106197,4.615240631870252,-0.04892307358167791,4.6158179199716916,-0.04950036168311733,4.578422135721959,-0.012104577433384556,4.578285449703905,-0.011967891415331167
827,2026-05-15T14:04:58.822Z,2026-05-15 14:04:58.822000+00:00,5418.85025,90.31417083333334,40177.021,6,59,test,1,0,4.590025901794434,6.806622505187988,8.811262130737305,8.319262504577637,23.93714714050293,0.3475461154893016,True,True,False,0.9472284317016602,1.1983454564070164,13.715176939964294,1.2945131192484063,0.11210645615236492,0.06524538845106985,4.872106456152364,4.872469580977804,4.872106456152364,-0.2820805543579308,4.872469580977804,-0.28244367918337066,4.52942732408842,0.0605985777060134,4.52989592121793,0.06012998057650343,4.510620312470436,0.079405589323998,4.510414584243894,0.07961131755053952
828,2026-05-15T14:06:10.391Z,2026-05-15 14:06:10.391000+00:00,5420.043066666666,90.33405111111111,71.569,6,59,test,1,1,4.476998329162598,9.500473022460938,9.224074363708496,6.466681480407715,25.19122886657715,0.25670369296622464,True,True,False,0.9472284317016602,1.1983454564070164,13.715176939964294,0.9709068529431133,-0.012822433524802059,0.07432963070337754,4.747177566475198,4.74759554617711,4.747177566475198,-0.2701792373126004,4.74759554617711,-0.27059721701451256,4.404553289287726,0.0724450398748715,4.404967031540764,0.0720312976218338,4.412037800194678,0.06496052896791937,4.411650079827472,0.06534824933512606
829,2026-05-15T14:07:19.320Z,2026-05-15 14:07:19.320000+00:00,5421.191883333333,90.35319805555555,68.929,6,59,test,1,2,4.751021385192871,3.600916624069214,9.070778846740724,9.918367385864258,22.590062856674194,0.43905886622771806,True,True,False,0.9472284317016602,1.1983454564070164,13.715176939964294,2.51901940359016,0.40123151280961766,0.05609411337722821,5.161231512809618,5.161493904400707,5.161231512809618,-0.4102101276167467,5.161493904400707,-0.41047251920783623,4.818451647511323,-0.06743026231845217,4.819020977875184,-0.06799959268231248,4.7387714992839705,0.012249885908900637,4.73900769499518,0.012013690197691496
830,2026-05-15T14:08:28.549Z,2026-05-15 14:08:28.549000+00:00,5422.345700000001,90.37242833333335,69.229,6,59,test,1,3,4.450532913208008,4.582649230957031,4.734006881713867,3.9550681114196777,13.271724224090576,0.298007104776975,True,True,False,0.9472284317016602,1.1983454564070164,13.715176939964294,1.0330284172164812,0.014112268538554849,0.0701992895223025,4.774112268538555,4.77452826146407,4.774112268538555,-0.3235793553305468,4.77452826146407,-0.32399534825606224,4.431486004574686,0.019046908633321813,4.43190173360412,0.018631179603887382,4.433292216236207,0.017240696971800418,4.432951515967905,0.01758139724010288
