sample_index,utc_time,utc_datetime,elapsed_min,elapsed_h,dt_s,session_id,trial_id,split,episode_number,step_number,ph_measured,acid_flow,acetate_flow,water_flow,total_flow,water_fraction,buffer_flow_fraction,valid_for_model,valid_for_model_before_flat_trial_filter,uninformative_flat_ph_trial,flow_ratio_acetate_acid,log10_molar_base_acid_ratio,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,prediction_equilibrium_raw,residual_equilibrium_raw,prediction_equilibrium_bias,residual_equilibrium_bias,prediction_equilibrium_affine,residual_equilibrium_affine
874,2026-05-15T14:59:19.610Z,2026-05-15 14:59:19.610000+00:00,5473.196716666667,91.21994527777778,69.529,6,63,test,5,7,4.865702629089356,1.959554433822632,8.051691055297852,1.059751272201538,11.070996761322021,0.09572320316305376,0.9042767968369463,True,True,False,4.108939724420355,0.6137297704797747,0.017699891672523945,0.07272778801117068,0.09042767968369463,0.07272778801117068,5.373858699962053,5.373858699962053,-0.5081560708726967,5.030816443072669,-0.1651138139833126,4.906969784332544,-0.04126715524318758
875,2026-05-15T15:00:29.014Z,2026-05-15 15:00:29.014000+00:00,5474.35345,91.23922416666666,69.404,6,63,test,5,8,4.027643203735352,9.566641807556152,4.123875617980957,2.0721607208251958,15.762678146362305,0.13145993983918317,0.8685400601608169,True,True,False,0.43106825790464315,-0.3654539556299806,0.0606917283898481,0.02616227762623359,0.08685400601608169,0.02616227762623359,4.3955012008749845,4.3955012008749845,-0.36785799713963296,4.0524589439856005,-0.024815740250248908,4.133174065361444,-0.10553086162609215
876,2026-05-15T15:01:38.148Z,2026-05-15 15:01:38.148000+00:00,5475.505683333334,91.25842805555557,69.134,6,63,test,5,9,4.212347984313965,9.634102821350098,6.711663722991943,3.916694402694702,20.262460947036743,0.19329806053333784,0.8067019394666621,True,True,False,0.6966568498852069,-0.1569810883273492,0.04754655836984611,0.03312363557682011,0.08067019394666622,0.03312363557682011,4.603573040573451,4.603573040573451,-0.39122505625948634,4.260530783684067,-0.04818279937010228,4.297740799860185,-0.08539281554622047
877,2026-05-15T15:02:47.563Z,2026-05-15 15:02:47.563000+00:00,5476.6626,91.27771,69.415,6,64,test,6,0,4.104281425476074,9.443244934082031,4.972620010375977,7.503407955169678,21.919272899627686,0.3423201120552283,0.6576798879447717,True,True,False,0.5265795862637296,-0.27853598105383864,0.04308192601700046,0.02268606277747671,0.06576798879447718,0.02268606277747671,4.482425997869296,4.482425997869296,-0.3781445723932215,4.139383740979912,-0.03510231550383747,4.201924022150648,-0.0976425966745742
878,2026-05-15T15:03:56.809Z,2026-05-15 15:03:56.809000+00:00,5477.816699999999,91.296945,69.246,6,64,test,6,1,4.789065361022949,2.675597906112671,8.973150253295898,1.6796602010726929,13.328408360481262,0.12602106385432235,0.8739789361456777,True,True,False,3.3536990863970404,0.5255240925634365,0.020074399236189523,0.06732349437837824,0.08739789361456776,0.06732349437837824,5.2856695370896825,5.2856695370896825,-0.49660417606673324,4.942627280200298,-0.15356191917734918,4.837219824063458,-0.04815446304050841
879,2026-05-15T15:05:06.042Z,2026-05-15 15:05:06.042000+00:00,5478.970583333333,91.31617638888888,69.233,6,64,test,6,2,4.019924163818359,5.703552722930908,2.783604383468628,7.33898115158081,15.826138257980347,0.46372532780573433,0.5362746721942656,True,True,False,0.4880474536997364,-0.31153794873911234,0.03603881521795051,0.017588652001476055,0.05362746721942656,0.017588652001476055,4.449765750382462,4.449765750382462,-0.42984158656410276,4.106723493493078,-0.0867993296747187,4.176092606017557,-0.15616844219919734
880,2026-05-15T15:06:15.470Z,2026-05-15 15:06:15.470000+00:00,5480.127716666667,91.33546194444445,69.428,6,64,test,6,3,4.855227470397949,1.233954906463623,7.1714396476745605,2.496415138244629,10.901809692382812,0.2289908931348247,0.7710091068651753,True,True,False,5.811751799121335,0.7643070587275493,0.011318807989519373,0.06578210269699816,0.07710091068651753,0.06578210269699816,5.524441364939839,5.524441364939839,-0.6692138945418895,5.181399108050455,-0.32617163765250545,5.026067579994966,-0.1708401095970169
881,2026-05-15T15:07:24.708Z,2026-05-15 15:07:24.708000+00:00,5481.281683333334,91.35469472222222,69.238,6,64,test,6,4,4.227785110473633,2.492751121520996,2.291223764419556,4.7113776206970215,9.495352506637573,0.4961772211619957,0.5038227788380043,True,True,False,0.9191546418888081,-0.036611415198183186,0.0262523283867395,0.02412994949706094,0.05038227788380044,0.02412994949706094,4.724040620633543,4.724040620633543,-0.49625551015991043,4.380998363744159,-0.15321325327052637,4.393020181693811,-0.16523507122017822
882,2026-05-15T15:08:33.800Z,2026-05-15 15:08:33.800000+00:00,5482.433216666667,91.37388694444445,69.092,6,64,test,6,5,4.440608024597168,8.555809020996094,9.883586883544922,4.506051063537598,22.945446968078613,0.1963810541501481,0.8036189458498519,True,True,False,1.155190217463999,0.06265350249063222,0.03728761105808406,0.04307428352690114,0.08036189458498519,0.04307428352690114,4.822980131755352,4.822980131755352,-0.3823721071581838,4.479937874865968,-0.03932985026879976,4.471272732744514,-0.030664708147345898
883,2026-05-15T15:09:42.976Z,2026-05-15 15:09:42.976000+00:00,5483.58615,91.3931025,69.176,6,64,test,6,6,3.692420006,8.345844268798828,1.6624253988265991,9.080878257751465,19.089147925376892,0.47570893647271967,0.5242910635272803,True,True,False,0.19919199847061883,-0.7007281111424997,0.04372036039232511,0.008708745960402926,0.05242910635272804,0.008708745960402926,4.0644075480476305,4.0644075480476305,-0.3719875420476306,3.721365291158246,-0.028945285158246126,3.8713077727481857,-0.17888776674818585
