acid_flow,acetate_flow,water_flow,total_flow,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,water_fraction,buffer_flow_fraction,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,ph_equilibrium_affine
1.0,5.0,8.0,14.0,5.0,0.6989700043360189,0.5714285714285714,0.42857142857142855,0.0071428571428571435,0.03571428571428571,0.04285714285714286,0.03571428571428571,5.4592232830253975,4.974485747554379
1.0,5.0,9.0,15.0,5.0,0.6989700043360189,0.6,0.4,0.006666666666666667,0.03333333333333333,0.04,0.03333333333333333,5.459241366794231,4.9745000502432415
1.0,5.0,10.0,16.0,5.0,0.6989700043360189,0.625,0.375,0.00625,0.03125,0.0375,0.03125,5.459259449545855,4.9745143521275805
1.0,6.0,1.0,8.0,6.0,0.7781512503836436,0.125,0.875,0.0125,0.07500000000000001,0.08750000000000001,0.07500000000000001,5.538268501060288,5.03700364247276
1.0,6.0,2.0,9.0,6.0,0.7781512503836436,0.2222222222222222,0.7777777777777778,0.011111111111111112,0.06666666666666668,0.07777777777777779,0.06666666666666668,5.53828315219954,5.037015230250072
1.0,6.0,3.0,10.0,6.0,0.7781512503836436,0.3,0.7,0.01,0.06000000000000001,0.07,0.06000000000000001,5.538297802926301,5.03702681770114
1.0,6.0,4.0,11.0,6.0,0.7781512503836436,0.36363636363636365,0.6363636363636364,0.009090909090909092,0.05454545454545456,0.06363636363636364,0.05454545454545456,5.538312453174453,5.03703840477367
1.0,6.0,5.0,12.0,6.0,0.7781512503836436,0.4166666666666667,0.5833333333333334,0.008333333333333333,0.05000000000000001,0.05833333333333334,0.05000000000000001,5.538327102900875,5.037049991433556
1.0,6.0,6.0,13.0,6.0,0.7781512503836436,0.46153846153846156,0.5384615384615384,0.007692307692307693,0.04615384615384616,0.053846153846153856,0.04615384615384616,5.538341752076446,5.037061577657767
1.0,6.0,7.0,14.0,6.0,0.7781512503836436,0.5,0.5,0.0071428571428571435,0.042857142857142864,0.05000000000000001,0.042857142857142864,5.53835640068089,5.037073163430267
1.0,6.0,8.0,15.0,6.0,0.7781512503836436,0.5333333333333333,0.4666666666666667,0.006666666666666667,0.04000000000000001,0.046666666666666676,0.04000000000000001,5.538371048699713,5.037084748739591
1.0,6.0,9.0,16.0,6.0,0.7781512503836436,0.5625,0.4375,0.00625,0.037500000000000006,0.043750000000000004,0.037500000000000006,5.538385696122315,5.037096333577357
1.0,6.0,10.0,17.0,6.0,0.7781512503836436,0.5882352941176471,0.4117647058823529,0.0058823529411764705,0.03529411764705883,0.0411764705882353,0.03529411764705883,5.538400342940787,5.037107917937307
1.0,7.0,1.0,9.0,7.0,0.8450980400142568,0.1111111111111111,0.8888888888888888,0.011111111111111112,0.07777777777777778,0.08888888888888889,0.07777777777777778,5.605208739627236,5.089947551093426
1.0,7.0,2.0,10.0,7.0,0.8450980400142568,0.2,0.8,0.01,0.07,0.08,0.07,5.605221037373459,5.089957277541466
1.0,7.0,3.0,11.0,7.0,0.8450980400142568,0.2727272727272727,0.7272727272727273,0.009090909090909092,0.06363636363636364,0.07272727272727274,0.06363636363636364,5.605233334690784,5.089967003650286
1.0,7.0,4.0,12.0,7.0,0.8450980400142568,0.3333333333333333,0.6666666666666666,0.008333333333333333,0.05833333333333334,0.06666666666666668,0.05833333333333334,5.605245631575088,5.089976729416624
