cycle,target_ph,is_test,steps,mean_ph,mean_abs_error,rmse,max_abs_error,reward_sum,squared_error_cost_sum,absolute_error_cost_sum,move_cost_sum,total_cost_sum,train_updates
20,4.920154571533203,False,400,4.927447069487618,0.022335929307409,0.0278051333110598,0.0773973236325353,-9.2977345761156,0.3092501753783229,8.934371722963602,5.411267777367414,9.2977345761156,400
21,4.548663139343262,False,400,4.577745119713638,0.0310434969184072,0.0370997398056454,0.1042051585401182,-13.029253847664403,0.5505562774586359,12.417398767362892,6.129880284287765,13.029253847664403,400
22,4.61884069442749,False,400,4.6081316566231,0.0179355893234707,0.0224225823272246,0.0600157955069624,-7.402075158546541,0.201108879288466,7.1742357293883074,2.673054986976812,7.402075158546541,400
23,4.540828704833984,False,400,4.559297903417133,0.0201034712606156,0.023768389098654,0.0729446838586058,-8.284927185502957,0.225974528138007,8.04138850424625,1.7564153118700432,8.284927185502957,400
24,5.044791221618652,False,400,5.008640638410393,0.0361505832082591,0.0377597281271231,0.0733202661829448,-15.058859126613806,0.5703188272937021,14.46023328330364,2.8307016016464104,15.058859126613806,400
25,4.901489734649658,False,400,4.913437429861254,0.0132766299770212,0.0158177880827906,0.0437685832414143,-5.418857742539799,0.1000809679328299,5.310651990808508,0.8124783798460555,5.418857742539799,400
26,4.523727893829346,False,400,4.537894543106264,0.0148573170903461,0.0174104208697673,0.0441662844914017,-6.086130539038505,0.1212491019449726,5.942926836138468,2.1954600955064443,6.086130539038505,400
27,4.884799480438232,False,400,4.8889516976781415,0.0090971573547417,0.0113959227513971,0.0533653045101187,-3.707476625930012,0.0519468221423246,3.6388629418967,1.666686189098712,3.707476625930012,400
28,4.556336402893066,False,400,4.547132776582593,0.0110140324776281,0.0134069403592105,0.032026686441215,-4.495752046211136,0.0718984199181709,4.405612991051273,1.8240635241692509,4.495752046211136,400
29,4.948602676391602,False,400,4.951172185554207,0.0080960914600266,0.0101338860062841,0.0397018257429984,-3.302339358469577,0.0410782582353449,3.2384365840106577,2.2824516223574847,3.302339358469577,400
30,4.834192752838135,False,400,4.831296348782037,0.0090047791440146,0.011266842190712,0.0387916607346241,-3.6644549280991496,0.0507766931801632,3.601911657605849,1.176657731313724,3.6644549280991496,400
31,5.008073806762695,False,400,4.994690954537006,0.0139550094747375,0.016278768524259,0.0401055632107736,-5.697691889119086,0.1059993218665624,5.582003789895005,0.968877735751878,5.697691889119086,400
32,4.647556781768799,False,400,4.6160640364609735,0.0314927453078251,0.0329069071348394,0.0668506458568645,-13.055249105254251,0.4331458148723793,12.59709812313007,2.5005167251801765,13.055249105254251,400
33,4.778796195983887,False,400,4.77175135135905,0.0094179916126223,0.0120083152714355,0.0317518482087741,-3.8362201108862695,0.0576798542632765,3.767196645048939,1.1343611574053938,3.8362201108862695,400
34,4.888790130615234,False,400,4.889911855182865,0.0085483974859393,0.0106525346958455,0.0322690711940314,-3.476828971205497,0.0453905981784771,3.4193589943757443,1.2079378651275663,3.476828971205497,400
35,4.699174404144287,False,400,4.68207348960331,0.0177137509923267,0.0209054893060395,0.080537609107556,-7.279042962655985,0.1748157932499728,7.085500396930712,1.8726772475299924,7.279042962655985,400
36,4.605857372283936,False,400,4.602446769383189,0.0085386023662393,0.0104978609469245,0.0289242959777613,-3.468098597256682,0.0440820337843851,3.415440946495753,0.8575616976543472,3.468098597256682,400
37,4.9363932609558105,False,400,4.941902852959222,0.0099569338320401,0.0122461030347739,0.0339252081770427,-4.06429178618897,0.0599868158153203,3.9827735328160463,2.1531437557603006,4.06429178618897,400
38,4.487259864807129,False,400,4.529883422759311,0.042623557952182,0.0437231907515642,0.066236227695243,-17.83942587956902,0.7646869637990705,17.04942318087283,2.53157348971202,17.83942587956902,400
39,4.560887813568115,False,400,4.561125741300053,0.0083059260956441,0.010545068610481,0.0379092586664135,-3.374596412504705,0.0444793887999013,3.3223704382576558,0.7746585447148533,3.374596412504705,400
40,4.824276447296143,False,400,4.822231930259547,0.0090537821428182,0.011226614353941,0.0303399837820572,-3.6939233735074297,0.0504147479408458,3.6215128571272936,2.1995768439290257,3.6939233735074297,400
41,4.544668197631836,False,400,4.550076471658109,0.0086823386091983,0.0110718753963375,0.0370258371948351,-3.539923070849135,0.04903456991681,3.472935443679356,1.7953057252968847,3.539923070849135,400
42,4.528831005096436,False,400,4.537510326374896,0.0103083138458415,0.0127860703015567,0.0369713262205095,-4.19586785223493,0.065393437502541,4.123325538336637,0.7148876395752382,4.19586785223493,400
43,4.496640682220459,False,400,4.518586976424366,0.022027857572494,0.0236809325438538,0.0499805008298643,-9.041960825916457,0.2243146264586231,8.811143028997604,0.6503170460230052,9.041960825916457,400
44,4.992468357086182,False,400,4.991920720817443,0.0086365034975141,0.0107334051125246,0.0303818428495699,-3.533418076725876,0.0460823941238277,3.454601399005675,3.2734283596373324,3.533418076725876,400
45,4.867812156677246,False,400,4.870159370779176,0.0091487314209282,0.0115303098371563,0.0398844400672668,-3.7300799569231455,0.0531792179763293,3.6594925683712822,1.7408170575534427,3.7300799569231455,400
46,4.773195266723633,False,400,4.767880341939622,0.0110908848097721,0.0140246258375172,0.0744503437537869,-4.5392741001606405,0.0786760519529428,4.436353923908846,2.42441242988518,4.5392741001606405,400
47,4.626063346862793,False,400,4.601245155410592,0.0248181914522009,0.0268750178045977,0.0736121632666346,-10.230476561227183,0.2889066327989794,9.927276580880385,1.4293347547820332,10.230476561227183,400
